СНГ (ГОСТ);C (Углерод) min;C (Углерод) max;Cr (Хром) min;Cr (Хром) max;Ti  (Титан) min;Ti  (Титан) max;Ni (Никель) min;Ni (Никель) max; Mn (Марганец) min; Mn (Марганец) max;Аналог РФ;США (AISI);
12Х17;0,11;0,13;16;17;-;-;-;-;-;-;Х17;430;
Х18Н10Т;0,05;0,1;16,5;18;0,05;0,8;9;11;-;-;12Х18Р10Т;321;
03Х17Н13М2;0,02;0,03;16;17;-;-;11;13;1;2;03Х17Н14М3;316 L;
03Х18Н11;0,02;0,03;17;18;-;-;9;11;-;-;000Х18Н11;304 L;
06Х18Н11;0,05;0,06;16,5;18;-;-;9,5;11;-;-;0Х18Н11;305 L;
08Х12Т1;0,07;0,08;10,5;12;0,05;0,8;-;-;-;-;-;409;
08Х13;0,07;0,08;12;13;-;-;-;-;-;-;0Х13;410S;
08Х17Н13М2;0,07;0,08;16;17;-;-;11,5;13;1;2;0Х17Н13М2Т;316;
08Х17Н13М2Т;0,07;0,08;15,5;17;0,05;1;12;13;1;2;0Х17Н13М2Т;316Ti;
08Х17Т;0,07;0,08;16;17;0,05;1;-;-;-;-;-;430Ti;
08Х18Н10;0,07;0,08;16,5;18;-;-;8;10;-;-;0Х18Н10;304;
08Х18Н12Т;0,07;0,08;16,5;18;0,05;1;11;12;-;-;-;321;
10Х23Н18;0,09;0,1;21;23;-;-;16,5;18;-;-;-;310S;
10X13;0,09;0,1;12;13;-;-;-;-;-;-;-;410;
12Х18Н9;0,11;0,12;16;18;-;-;7;9;-;-;-;302;
15Х5М;0,14;0,15;4;5;-;-;-;-;0,5;1;-;501;
20X13;0,18;0,2;11,5;13;-;-;-;-;-;-;-;420;
12X15;0,11;0,12;14;15;-;-;-;-;-;-;-;429;
12X17;0,11;0,12;15,5;17;-;-;-;-;-;-;-;430;
15X12;0,14;0,15;11;12;-;-;-;-;-;-;-;403;
15X13H2;0,14;0,15;12;13;-;-;1;2;-;-;-;414;
15X17H7;0,14;0,15;16;17;-;-;5,5;7;-;-;-;301;
